player_id,player_name,team,season,age,wev_lite,trade_value_seed,availability,offense_value,defense_value,position
ATL-01,Adrian Bennett,ATL,2024,24,8.1,77,0.81,4.7,3.0,PG
ATL-02,Elias Warren,ATL,2024,24,6.4,71,0.83,3.9,2.2,SG
ATL-03,Theo Fleming,ATL,2024,31,4.4,59,0.83,2.5,2.0,SF
ATL-04,Kai Caldwell,ATL,2024,26,3.2,39,0.96,1.9,1.4,PF
ATL-05,Tyrese Griffin,ATL,2024,30,2.1,34,0.67,1.3,1.0,C
ATL-06,Arlo Cross,ATL,2024,21,1.3,14,0.69,0.6,0.1,G/F
BOS-01,Julian Monroe,BOS,2024,25,9.5,95,1.00,5.4,3.6,SG
BOS-02,Kellan Ford,BOS,2024,25,7.5,82,0.89,4.6,2.8,SF
BOS-03,Quentin Lawson,BOS,2024,32,5.5,50,0.88,3.1,2.6,PF
BOS-04,Cedric Hudson,BOS,2024,20,3.9,44,0.76,2.5,1.5,C
BOS-05,Ashton Bell,BOS,2024,31,2.8,39,0.72,1.6,1.1,G/F
BOS-06,Terrence Brooks,BOS,2024,22,1.9,19,0.74,1.3,0.7,F/C
BKN-01,Camden Warren,BKN,2024,26,8.7,80,0.91,4.7,3.5,SF
BKN-02,Andre Fleming,BKN,2024,26,7.0,74,0.94,3.9,2.2,PF
BKN-03,Jasper Caldwell,BKN,2024,33,5.1,42,0.68,2.4,2.0,C
BKN-04,Soren Griffin,BKN,2024,21,2.8,42,0.81,1.4,1.4,G/F
BKN-05,Devin Cross,BKN,2024,32,1.7,17,0.77,0.9,1.0,F/C
BKN-06,Malik Noble,BKN,2024,23,0.9,17,0.79,0.6,0.6,PG
CHA-01,Isaiah Ford,CHA,2024,27,7.7,78,0.96,4.4,3.0,PF
CHA-02,Roman Lawson,CHA,2024,27,6.1,72,0.98,3.6,2.2,C
CHA-03,Rafael Hudson,CHA,2024,27,4.1,41,0.73,1.8,2.0,G/F
CHA-04,Cole Bell,CHA,2024,22,3.1,42,0.86,1.1,1.4,F/C
CHA-05,Mason Brooks,CHA,2024,33,2.0,17,0.82,0.6,0.6,PG
CHA-06,Tobias Mercer,CHA,2024,24,1.1,17,0.58,0.3,0.1,SG
CHI-01,Marcus Fleming,CHI,2024,28,8.5,86,1.00,4.9,3.4,C
CHI-02,Miles Caldwell,CHI,2024,28,6.9,80,0.78,3.7,2.6,G/F
CHI-03,Emory Griffin,CHI,2024,28,4.9,48,0.78,2.3,2.0,F/C
CHI-04,Silas Cross,CHI,2024,23,3.6,46,0.92,1.7,1.4,PG
CHI-05,Adrian Noble,CHI,2024,34,2.5,21,0.62,1.1,0.9,SG
CHI-06,Elias Sullivan,CHI,2024,19,1.7,21,0.64,0.8,0.5,SF
CLE-01,Gavin Lawson,CLE,2024,29,9.1,90,0.81,4.7,3.4,G/F
CLE-02,Luca Hudson,CLE,2024,22,7.4,84,0.83,3.9,2.6,F/C
CLE-03,Zion Bell,CLE,2024,29,5.4,52,0.83,2.5,2.4,PG
CLE-04,Kyrie Brooks,CLE,2024,24,3.0,49,0.96,1.9,1.8,SG
CLE-05,Julian Mercer,CLE,2024,35,1.9,24,0.67,1.3,1.3,SF
CLE-06,Kellan Rivers,CLE,2024,19,1.0,24,0.69,0.6,0.5,PF
DAL-01,Dante Caldwell,DAL,2024,30,8.4,93,0.86,5.0,3.4,F/C
DAL-02,Bryce Griffin,DAL,2024,23,6.8,67,0.89,4.2,2.6,PG
DAL-03,Jonah Cross,DAL,2024,30,4.8,55,0.88,2.8,2.4,SG
DAL-04,Wesley Noble,DAL,2024,25,3.4,51,0.76,2.1,1.4,SF
DAL-05,Camden Sullivan,DAL,2024,29,2.3,26,0.72,1.2,1.0,PF
DAL-06,Andre Bishop,DAL,2024,20,1.4,26,0.74,0.9,0.5,C
DEN-01,Kai Hudson,DEN,2024,24,9.0,95,0.91,5.2,3.6,PG
DEN-02,Tyrese Bell,DEN,2024,24,7.3,71,0.94,4.3,2.4,SG
DEN-03,Arlo Brooks,DEN,2024,31,5.3,59,0.68,2.9,2.2,SF
DEN-04,Darius Mercer,DEN,2024,26,3.8,34,0.81,1.9,1.6,PF
DEN-05,Isaiah Rivers,DEN,2024,30,2.7,29,0.77,1.4,1.2,C
DEN-06,Roman Porter,DEN,2024,21,1.9,29,0.79,1.1,0.7,G/F
DET-01,Cedric Griffin,DET,2024,25,8.4,86,0.96,4.5,3.0,SG
DET-02,Ashton Cross,DET,2024,25,6.7,61,0.98,3.7,2.2,SF
DET-03,Terrence Noble,DET,2024,32,4.7,49,0.73,1.9,2.0,PF
DET-04,Micah Sullivan,DET,2024,20,2.7,31,0.86,1.2,1.4,C
DET-05,Marcus Bishop,DET,2024,31,1.6,26,0.82,0.7,0.6,G/F
DET-06,Miles Dalton,DET,2024,22,0.7,10,0.58,0.4,0.1,F/C
GSW-01,Soren Bell,GSW,2024,26,8.3,95,1.00,5.2,3.4,SF
GSW-02,Devin Brooks,GSW,2024,26,6.7,71,0.78,4.0,2.6,PF
GSW-03,Malik Mercer,GSW,2024,33,4.7,59,0.78,2.6,2.0,C
GSW-04,Nolan Rivers,GSW,2024,21,3.3,36,0.92,1.9,1.4,G/F
GSW-05,Gavin Porter,GSW,2024,37,2.3,31,0.62,1.4,0.9,F/C
GSW-06,Luca Knight,GSW,2024,23,1.4,11,0.64,1.1,0.5,PG
HOU-01,Cole Cross,HOU,2024,27,8.6,95,0.81,4.6,3.3,PF
HOU-02,Mason Noble,HOU,2024,27,6.9,71,0.83,3.8,2.5,C
HOU-03,Tobias Sullivan,HOU,2024,27,4.9,59,0.83,2.4,2.3,G/F
